Temporada,Equipo,Goles,Partidos
2025-2026,Al Nassr,30,28
2022-2023,Manchester United,16,3
2021-2022,Manchester United,38,24
2021-2022,Juventus,2,1
2020-2021,Juventus,44,35
2019-2020,Juventus,46,38
2018-2019,Juventus,43,27
2017-2018,Real Madrid,44,44
2016-2017,Real Madrid,44,38
2015-2016,Real Madrid,48,51
2014-2015,Real Madrid,52,61
2013-2014,Real Madrid,48,51
2012-2013,Real Madrid,56,55
2011-2012,Real Madrid,56,60
2010-2011,Real Madrid,53,53
2009-2010,Real Madrid,27,33
2008-2009,Manchester United,51,25
2007-2008,Manchester United,49,42
2006-2007,Manchester United,52,23
2005-2006,Manchester United,43,12
2004-2005,Manchester United,50,9
2003-2004,Manchester United,39,6
2002-2003,Sporting CP,32,5
